SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022366.007286,6261,4485.0,4116,2740.0,3605,2600.0,8,4,9,40
1697022367.927461,7244,6812.5,3708,3185.0,3300,2925.0,8,3,9,40
1697022369.942133,6802,4930.0,4342,2865.0,3590,2680.0,8,4,9,40
1697022371.97079,4670,11675.0,2218,5545.0,3298,8245.0,8,1,9,40
1697022376.378714,6190,5375.0,4266,2745.0,3738,2860.0,8,4,9,40
1697022378.415288,6106,8515.0,2782,3720.0,2836,3805.0,8,2,9,40
1697022380.604799,6373,9530.0,3022,3855.0,3361,4575.0,8,2,9,40
1697022383.845415,5534,7070.0,2834,3680.0,2572,3320.0,8,2,9,40
1697022385.692696,5961,14902.5,2192,5480.0,2946,7365.0,8,1,9,40
1697022389.354436,5829,7967.5,2854,3725.0,3550,4615.0,8,2,9,40
1697022392.237651,5898,7537.5,3042,3935.0,3096,4110.0,8,2,9,40
1697022394.491531,6654,4695.0,4188,2895.0,5098,4315.0,8,4,9,40
1697022396.616848,6462,16155.0,1852,4630.0,3508,8770.0,8,1,9,40
1697022401.954844,5793,8885.0,2964,3915.0,2926,3670.0,8,2,9,40
1697022404.319352,4746,11865.0,1984,4960.0,2832,7080.0,8,1,9,40
1697022407.818029,6436,8840.0,2858,3595.0,2340,3200.0,8,2,9,40
1697022409.70755,6740,9070.0,3034,3890.0,3600,4790.0,8,2,9,40
1697022412.243755,6845,5480.0,4002,2710.0,7639,6782.5,8,4,9,40
1697022414.121143,4752,11880.0,2134,5335.0,2882,7205.0,8,1,9,40
1697022417.762514,6061,4227.5,4274,2840.0,3274,2172.5,8,4,9,40
1697022419.488462,6638,16595.0,2216,5540.0,2806,7015.0,8,1,9,40
1697022423.162429,5060,6940.0,3166,4040.0,3044,3980.0,8,2,9,40
1697022425.44192,7008,5700.0,4098,2790.0,5685,4030.0,8,4,9,40
1697022427.277888,7543,5502.5,4226,2765.0,3497,2745.0,8,4,9,40
1697022429.338779,6769,4827.5,4384,2930.0,3113,2110.0,8,4,9,40
1697022431.066117,5802,4505.0,4026,2650.0,3407,2655.0,8,4,9,40
1697022432.864258,5566,4090.0,4412,2915.0,3223,2385.0,8,4,9,40
1697022434.647983,5127,12817.5,2158,5395.0,2832,7080.0,8,1,9,40
1697022437.969219,5817,5987.5,3614,3200.0,3035,2637.5,8,3,9,40
1697022439.967807,4996,12490.0,2198,5495.0,3066,7665.0,8,1,9,40
1697022443.027446,5781,5697.5,3436,3065.0,3183,3257.5,8,3,9,40
1697022445.168728,6804,17010.0,1956,4890.0,2912,7280.0,8,1,9,40
1697022448.653763,7065,4635.0,3960,2755.0,3354,2440.0,8,4,9,40
1697022450.507869,5360,13400.0,2152,5380.0,2688,6720.0,8,1,9,40
1697022454.294632,6909,6965.0,3672,3235.0,3418,3305.0,8,3,9,40
1697022456.566753,4989,6470.0,2816,3805.0,3282,4290.0,8,2,9,40
1697022459.629955,6213,15532.5,2188,5470.0,2840,7100.0,8,1,9,40
1697022462.81985,7590,7595.0,3718,3240.0,3764,4170.0,8,3,9,40
1697022465.071981,6230,15575.0,2108,5270.0,2770,6925.0,8,1,9,40
1697022469.283204,6747,4922.5,4120,2850.0,3378,2640.0,8,4,9,40
1697022471.213985,5895,5967.5,3602,3390.0,3034,2657.5,8,3,9,40
1697022473.201502,5659,14147.5,2128,5320.0,3060,7650.0,8,1,9,40
1697022477.429785,6200,4370.0,4256,2865.0,3620,2760.0,8,4,9,40
1697022479.801217,5035,12587.5,2022,5055.0,3112,7780.0,8,1,9,40
1697022484.133301,5494,8142.5,3096,3880.0,4044,6400.0,8,2,9,40
1697022486.353149,5337,7007.5,2888,3705.0,3228,4515.0,8,2,9,40
1697022489.037927,6833,7350.0,3572,3070.0,3263,3025.0,8,3,9,40
1697022491.117082,5379,7105.0,2894,3650.0,3378,4830.0,8,2,9,40
1697022493.419751,6334,9000.0,2796,3545.0,3290,4795.0,8,2,9,40
1697022495.952728,6628,6170.0,3478,3015.0,3302,2980.0,8,3,9,40
1697022498.171692,6245,8375.0,2972,3815.0,3090,4320.0,8,2,9,40
1697022500.732704,6649,8705.0,2652,3410.0,2993,3755.0,8,2,9,40
1697022503.545294,4761,11902.5,2030,5075.0,2912,7280.0,8,1,9,40
1697022506.815844,7134,5355.0,3870,2525.0,3301,2222.5,8,4,9,40
1697022508.786164,5859,14647.5,2132,5330.0,2797,6992.5,8,1,9,40
1697022512.428893,5868,7830.0,2976,3745.0,2810,3615.0,8,2,9,40
1697022514.618178,6030,15075.0,2098,5245.0,3010,7525.0,8,1,9,40
1697022519.259278,6430,4967.5,4304,2800.0,3179,2085.0,8,4,9,40
1697022521.032633,7776,5125.0,4156,2870.0,4731,3827.5,8,4,9,40
1697022523.171594,5178,4857.5,3672,3220.0,3294,3180.0,8,3,9,40
1697022525.423017,5578,13945.0,2054,5135.0,2925,7312.5,8,1,9,40
1697022529.996979,6222,5525.0,3574,3215.0,3087,2880.0,8,3,9,40
1697022532.12498,5632,5050.0,3470,3370.0,3162,3030.0,8,3,9,40
1697022534.046431,5073,6347.5,3138,3925.0,3202,4190.0,8,2,9,40
1697022536.603285,5530,13825.0,2080,5200.0,3004,7510.0,8,1,9,40
1697022540.661515,7105,7500.0,3372,3020.0,2817,2392.5,8,3,9,40
1697022542.490515,5836,14590.0,2086,5215.0,3088,7720.0,8,1,9,40
